chain_key,chain_name,chain_id,is_testnet,timestamp_utc,block_number,wallet,wallet_is_contract,tx_hash,tx_to,tx_input_selector,direct_to_comet,decoded_comet_function,decoded_comet_asset_symbol,decoded_comet_asset_address,decoded_comet_amount_raw,decoded_comet_amount_formatted,market_keys,market_names,comet_addresses,event_count,event_summaries,explorer_url
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:23:11.000Z,24604355,0x073c40548e51a3f8174118b1107bbaadf2910553,true,0xa16c9f0237c2e72e6061cb664c9f49377906e01be60088142a75868e98a2b63e,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:0.0001,https://etherscan.io/tx/0xa16c9f0237c2e72e6061cb664c9f49377906e01be60088142a75868e98a2b63e
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:24:11.000Z,24604360,0x073c40548e51a3f8174118b1107bbaadf2910553,true,0x1be824758e0bec52d6cb9750fc634f9702cbbd93071e51c095cbf12de58e9462,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:0.0003,https://etherscan.io/tx/0x1be824758e0bec52d6cb9750fc634f9702cbbd93071e51c095cbf12de58e9462
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:24:11.000Z,24604360,0x28b88440619f2491f7624f2089aa76d9b3363818,true,0x2cb9b9e183f4d25745effd2542d9affb380dd42a711e495f0de445c07730a8b2,0xd1a85beaed6b5d2e61d3c50c4bd56e4e46133686,0x3b12964a,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,2,Withdraw:WETH:0.11540334322054806|SupplyCollateral:UNKNOWN:0.107505613009074052,https://etherscan.io/tx/0x2cb9b9e183f4d25745effd2542d9affb380dd42a711e495f0de445c07730a8b2
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:25:35.000Z,24604367,0x073c40548e51a3f8174118b1107bbaadf2910553,true,0xab81cf8c701e0f27cf9c9cff1ad05c1a46f2696211a7f9be4088815d8b0c0eaf,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Withdraw:WETH:0.0004,https://etherscan.io/tx/0xab81cf8c701e0f27cf9c9cff1ad05c1a46f2696211a7f9be4088815d8b0c0eaf
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:27:11.000Z,24604375,0x8fe3e0d15537133585ce2a0f4acfb3150a2fa069,true,0xc88875cff07cd91d3c235395686684c5dc0671595c75993c6d893abc5e7ddccc,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:0.00012,https://etherscan.io/tx/0xc88875cff07cd91d3c235395686684c5dc0671595c75993c6d893abc5e7ddccc
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:28:23.000Z,24604381,0xc723f2c210c4d29cfe35209340a6fb766d956982,true,0x3d0a5c7b694fbc0115d80944ea6c2770cd8172a5ecb4d8b7dcd28cdf48222fba,0x66bf302d45a926f5832cbeda499cd81e3a46d670,0x7a9a1628,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:77.000048620970398303,https://etherscan.io/tx/0x3d0a5c7b694fbc0115d80944ea6c2770cd8172a5ecb4d8b7dcd28cdf48222fba
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:28:47.000Z,24604383,0x8fe3e0d15537133585ce2a0f4acfb3150a2fa069,true,0x83093b6ab62843ae8c855700cfa629c861c9bba94eb52a96a70022581e940ec9,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:0.00012,https://etherscan.io/tx/0x83093b6ab62843ae8c855700cfa629c861c9bba94eb52a96a70022581e940ec9
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:29:47.000Z,24604388,0x5d5ce7ceaeaa68a41cd22eb303ab3c3bcd66f046,true,0x30f5eb5796225edc5da0c17f436a797b532d6bef0ea73cc12126bdf6bb8e0dde,0x66bf302d45a926f5832cbeda499cd81e3a46d670,0x7a9a1628,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,WithdrawCollateral:UNKNOWN:0.0000000005,https://etherscan.io/tx/0x30f5eb5796225edc5da0c17f436a797b532d6bef0ea73cc12126bdf6bb8e0dde
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:29:47.000Z,24604388,0x8fe3e0d15537133585ce2a0f4acfb3150a2fa069,true,0xf4759ef58a4822e5a106b9e855bd1a55fe429fad67aa9186f51d453f43114bd2,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Withdraw:WETH:0.00024,https://etherscan.io/tx/0xf4759ef58a4822e5a106b9e855bd1a55fe429fad67aa9186f51d453f43114bd2
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:31:35.000Z,24604397,0x48fd8807c9c3eff2b7ffb512f0d9bb2b24d70072,true,0x53055c4fcdf523190f45922664f1f62a6e37888ed56f75621021c91d2085b12c,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:0.0004,https://etherscan.io/tx/0x53055c4fcdf523190f45922664f1f62a6e37888ed56f75621021c91d2085b12c
