rank_first_seen,wallet,first_seen_utc,last_seen_utc,tx_count,chains,chain_names,target_types,market_keys,tx_hashes
26,0x4f6872a24ff019550048668094da427dcd49723a,2026-02-27T17:34:17.000Z,2026-03-08T05:32:37.000Z,12,linea,Linea,bulker|comet,usdc|weth,0x84e50d84b1235ee6b4f0d4c679e91ec1521ef4f49c4a42a8e9b5a669b10cb686|0xfdedc696aa0cc41a5325fb37833a20e1b41a9e27c759159d258f99326b35d032|0xb94036d86950ab96cc08c7e8122f2ba5fa93b2c80cac52f034b849de8922ea9a|0x8c421e51dd1447b8e2fb964d0b7bd8080390c64d76d12578a9d68234040dc5c4|0xabbcfa5dbbe150c8255ed082fbabf60e86529c242e9d0367a0183b691aff96db|0x62648ce89922bc99fca7d4aa340dbee6c6b5e3e386548120f007dba6dde159c5|0x3e15cb39f5184232174bf33e26b81092f889680f905d5e429b644fcfca5c39ed|0x564299737da0c90917d7482534d3e15fc49a332fc5e8dc00c5010aa1e4001871|0x09f47eb1fe7060bd1b21f8cf9569fcf981880b974a95ae557825916526c9d03e|0x5d837bb28314f9600602564d24945a8d2fb84a26a2097c3483cd5e4739345102|0xaa03d3c08497d5c4dbe8a3361f3e34afeb42fb2f5bf42339391d1d38bf7ed8d1|0x63a580c9b6ff5331467462da9f12f9dba505d9486671881b10694c059c52033f
27,0xb10127e9efc4d23e4aa613bef46959445c26a3f5,2026-02-27T19:41:41.000Z,2026-02-27T19:45:45.000Z,4,linea,Linea,bulker|comet,usdc|weth,0x967645e5e1241fed45135d101cf362dde6bd72b5e8f3eb0082bbe8105ca0ed00|0xe93984eca423d7527e7af8bf1e90118890a5cb7162517cebf790a500fd9c1e03|0x2bd6766bc27f80c5b384b265d4284867080aa8ed6c392a1b7d00e6b1d8237473|0xbc639c0f337f50d417984e25f3a8398d053bf1751732bf6f6f84c6379612cf27
28,0x12ae0b2648af963321e8e55edb648ef59bdab374,2026-02-27T19:57:15.000Z,2026-02-27T20:38:48.000Z,15,linea,Linea,bulker|comet,usdc|weth,0x2a47cfa947fdaeef88f600c9edad7817e60caa7ac80b5c32357e0ef9aa837309|0xaf21fcb4002620b4d3ee1e8968b57ea7509de8daac6d5935cb7c205dc3649308|0x7d16ad2870191b973e66884b420a54d9fd04071ee74cb176b066c1d66ab4ac08|0x2ecf091c18534e0a05c96a7ec323ca54d7907abd743f1a2a6d331a144b31d443|0x1db8da5086cffc4d1422767857e4918b6cbb640e7b15d687e9ec5b4062fd1ea5|0x8b489a023d06fb8bd8dac72d9f926f645428970f8aacb1a21db30f09a66bf4eb|0x48f086f16d3d2a0894d1fc2525745f80b5a4ed8336a3239acdf4d5de634dcdf5|0xc41842b087d02f3be6bf939c663ef00c89d798375cdae759ba77278b9c809ea2|0xfbc76272b968fd99a143a48e263e27db26cd73f741e952c5e01b25826bf55245|0xb8b209f5917c2fa98fa6b8b3c780220bfa6f3f68f9f51f41b367bda9762b139d|0x5ae92033b43d5fe5fc56d29051178d187fac3b9a19084b882d4429bcc08ee2cb|0x89e453c7cec4e00902530ce3521f6645168cdb4e821f175ac6d1a48f05573103|0x854819c8b3843a9b3e92073c90584e3f46c4985ccbd4bd5dd7717caef9dea6e5|0xedba98539b34aff15db668b20e63669af60d9513f18bb0b5eec6d33368a0d6bd|0x990df4658497be834ca0ff0e7aafa4936e92c64f0582a59e6a94dd903052c413
38,0xfef37be95be608ed7277f777d8ba877ad70df125,2026-02-28T06:09:47.000Z,2026-02-28T06:09:47.000Z,1,linea,Linea,comet,usdc,0x38fe1aac60619275c14840901fbc50094a30e326a6c2fa702ec5c17dcd780c2e
42,0x76914c986ca7c04c7bdcb3e7f02a67f71e2a9eec,2026-02-28T09:09:41.000Z,2026-03-07T17:07:41.000Z,3,linea,Linea,comet,usdc,0x38a6da5bf1203654e831ea0e4865138a916cd7b275d5716c9e9198eddbac7779|0x651a84df320238a9ec16c7066f680087a101fc9cf74d2b62c12f965de88a9525|0xc48f2ea326f4c02994b7cb20e268675483ef87f0fb9875f391f184ce6f8bc0fb
57,0x3da9c0de73a8b16dbf7e9ba884ccc11a6a50ef3a,2026-03-01T08:34:40.000Z,2026-03-01T08:35:49.000Z,2,linea|scroll,Linea|Scroll,comet,usdc,0xbc7eb73e7cc0e01b77479787b6c8d1c27a7d89fb7620f31c085704a46b7e6e5f|0x396d127f23c7aac2b1aae5c58d8f326be537ce7fb0d802468f0abe7072a47b6e
64,0xd51bafde150cccc0c5089ad3f33dfb3cf2a48f6e,2026-03-01T09:30:19.000Z,2026-03-01T10:00:21.000Z,3,linea,Linea,bulker|comet,usdc|weth,0xd2a9271cc6432b276c5f205f7fd7c80a2066862c62878cbedbe9a88dd851976f|0x6124210aebf4a7a57c2bca7553baa6d6ad90b30ba396af6d9b9ed8b5beba8559|0x17dd3fb5202d833237cbb509d9b7456d3a337f73dd34c2bd28cda4035f034170
65,0xe322fba868a746f5b76afc47ed4c249951452e43,2026-03-01T10:43:33.000Z,2026-03-01T10:46:30.000Z,3,linea,Linea,bulker|comet,usdc|weth,0xf1d353e808fbae65f19bd5392701078edce6f634f037fd9a2e592b6ed36db53b|0x16459f5b8d4311ea8e561242c74c5ec3fd1395647933a8bc70c43ab7732c5776|0xf289a1a899fbab37fdcccec704a0e4c990fddb29e1609eea57bbee57b269073e
68,0xdce975d0291f71ec314a764c817d807a770cd6f5,2026-03-01T12:07:32.000Z,2026-03-01T12:07:32.000Z,1,linea,Linea,bulker,usdc|weth,0x5bc075b89a22662d70448ddbf0f321efc2e5f731478e0d8e6c454958f64fa9db
69,0xff0a3568934fa33ed2e0371bb33fb85f866b4ba1,2026-03-01T14:00:39.000Z,2026-03-01T14:23:43.000Z,4,linea,Linea,bulker|comet,usdc|weth,0xa4cb974e54d7bc237e64c013a91419db345db211eabf9c52bfbbb0312a38c1ff|0x2be10f6869d0866c9132cdc56ed16cf587d492c666606d8f4e5f1f8c7f76af90|0x9d4088c92b2426608b67c6537a23ba06f2b8ec5edee145062009a702bb204883|0x9d8b60255fbba6e13629b3d264f872b56a357e55f3e24dfc3facaea9bbe10f60
71,0xf17f53eda987b3f831d32f99beee467512e130d0,2026-03-01T15:06:23.000Z,2026-03-01T15:06:23.000Z,1,linea,Linea,comet,usdc,0xd746b6247108fbe12e0782640b6916fd6fc4a682fa93391d0101acda80ac3071
